show_time,player_id,enemy_id,gap_angle,shooting_distance,dribbling_distance,defender_intercept_distance,intercept_distance,passing_angle,action,result
13,player_l11_,player_r11_,0.13991102301240887,51.12649382466607,2.647595985040014,3.71706045686642,3.7167515873277313,0.004707701427026466,d,sucess
16,player_l11_,player_r11_,0.1469834511560632,49.39447462054815,5.025337401607976,4.986725299231952,1.9571351046915484,0.0024789343362143397,p,fail
76,player_l9_,player_r5_,0.11849621790512153,57.070457839164014,4.543199472838497,5.298633363424948,5.5153133250644135,0.006985821645673017,p,sucess
86,player_l11_,player_r6_,0.15722339645667696,47.7369188534252,2.2480866753753066,7.056545647836483,6.728002046983014,0.008521874671560438,d,sucess
92,player_l11_,player_r6_,0.16547764493977848,44.317629150150616,2.6349865274797906,3.009591475599305,2.639539283456725,0.0033432796917847365,d,sucess
96,player_l11_,player_r6_,0.17163935996509455,41.56055662845151,2.8402671793336647,4.826263608631423,1.1100559966944143,0.001406011269770518,d,sucess
101,player_l11_,player_r8_,0.18109185524338728,37.93259460113536,2.5297832397262825,7.511178875516149,3.5919006278909755,0.004549561946388494,d,sucess
107,player_l11_,player_r8_,0.21188130170957756,36.067421447308185,2.0653073814810265,5.359853883269581,2.398482572595691,0.003037952692120992,d,sucess
114,player_l11_,player_r8_,0.23335929102245137,32.63469356553576,5.334080974263515,6.889636679099996,0.47102642421992674,0.000596607994434799,p,sucess
123,player_l9_,player_r5_,0.16122945171046804,35.749732284382276,2.1911471698633074,4.906718676468011,4.134634279524518,0.005237003420005123,d,sucess
126,player_l9_,player_r5_,0.18817092293184798,33.555788202324955,2.2275682728033237,3.7164040253987447,3.41251466326639,0.0043223472043804785,d,sucess
131,player_l9_,player_r5_,0.17284038235265167,31.932296568346768,2.2446204935356002,2.1846200584998754,1.2435555520496377,0.0015751036640211458,d,fail
465,player_l11_,player_r6_,0.1355652774304458,49.08447762649433,2.5419262872868678,3.9885190547369844,3.3249896671541785,0.004211485940558603,d,sucess
469,player_l11_,player_r6_,0.14149430168026486,47.47255136600385,6.072080737276143,9.100277979270743,2.754409386959396,0.0034887764503634885,p,sucess
477,player_l10_,player_r4_,0.13548108113206547,48.16692814948679,2.516569589739176,7.276529839147228,1.6896133216443687,0.0021400869951819046,d,sucess
482,player_l10_,player_r4_,0.14375631668034347,45.13781050431523,2.3794053584877033,5.630719074860689,4.539401291901453,0.005749694120739857,d,sucess
488,player_l10_,player_r4_,0.13933425831940055,44.019369471859925,2.634983174519339,4.0024877176576075,2.6325269134235394,0.0033343976867043308,d,fail
566,player_l5_,player_r4_,0.17733117621304664,46.85398776023704,4.212724771451374,11.211184854867037,10.578117866895303,0.013398777272183481,p,sucess
571,player_l8_,player_r7_,0.21718090180626162,39.85467967460976,1.64625719740264,6.666222333525939,0.8804094457347491,0.0011151378444930373,d,sucess
575,player_l8_,player_r7_,0.20967388094287412,38.52949115685027,1.8330413197743238,3.943509757817268,4.097130367412248,0.00518949985041328,d,sucess
580,player_l8_,player_r7_,0.2318627598549109,36.13211164697285,1.9027217978464421,4.472944427331955,3.1822721911640968,0.004030716665516581,d,sucess
584,player_l8_,player_r7_,0.2518032834063204,34.89739333873678,2.3219803638273926,3.7786807353890084,2.6374591147071023,0.003340644909320671,d,sucess
588,player_l8_,player_r7_,0.28238465118134226,33.19315340074214,2.434958309704709,4.576502529224692,2.62790705471093,0.0033285460834156125,d,sucess
591,player_l8_,player_r7_,0.31279001996606615,31.83781143142773,4.408116479858488,4.648834762604498,3.5608200898545217,0.004510194544345985,p,sucess
595,player_l11_,player_r2_,0.36532423515004364,25.731169748378033,0.7525190761701667,1.9660065615353353,1.2117245312689837,0.001534786046313774,d,fail
708,player_l10_,player_r4_,0.13529418886120587,56.324582766343866,1.7492017150689054,4.56456610205176,4.3471479223826135,0.005506179741714567,d,sucess
712,player_l10_,player_r4_,0.14070249443764463,54.67096395087122,2.4527281321010688,4.509380535062437,2.9586201197862625,0.0037474340119125786,d,sucess
715,player_l10_,player_r4_,0.1465121983064046,52.81755787216843,5.261393987338336,7.10626039278044,1.9538587674666725,0.0024747844737857834,p,sucess
720,player_l11_,player_r2_,0.1745653021763074,44.849398890041066,2.466973356159324,6.179330954885002,5.616425469454955,0.007113894734875126,d,sucess
723,player_l11_,player_r2_,0.17316412089423816,43.903038809501524,2.78482083624782,4.204378937488866,4.203738658571399,0.00532453311112135,d,sucess
